title,publication_date,year,language,type,platform,local_url,original_url
2025年秋の集会「基地に抗う」10月18日(土) 13:40～  立川市アイムホールにて開催,2025-09-18T16:55:52+09:00,2025,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12931093226.html,https://ameblo.jp/2021fukuoka-ameba/entry-12931093226.html
2025.6.7(土) 砂川闘争70周年のつどい,2025-06-01T10:44:17+09:00,2025,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12907468172.html,https://ameblo.jp/2021fukuoka-ameba/entry-12907468172.html
春の子ども食堂・ふらっと教室　フォトレポート,2025-05-18T12:47:35+09:00,2025,ja,community,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12904053944.html,https://ameblo.jp/2021fukuoka-ameba/entry-12904053944.html
「砂川事件」国賠訴訟 高裁判決 即日レポート,2025-01-31T21:29:57+09:00,2025,ja,lawsuit,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12884615182.html,https://ameblo.jp/2021fukuoka-ameba/entry-12884615182.html
リンク集――珠洲 地震 原発,2024-12-30T23:18:47+09:00,2024,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12880589118.html,https://ameblo.jp/2021fukuoka-ameba/entry-12880589118.html
「珠洲と砂川」ーー国策をめぐる土地攻防（10.27レポート）,2024-12-11T17:44:06+09:00,2024,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12878276841.html,https://ameblo.jp/2021fukuoka-ameba/entry-12878276841.html
「砂川と台湾」——砂川平和ひろば集会レポート2024,2024-11-19T17:56:23+09:00,2024,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12875614541.html,https://ameblo.jp/2021fukuoka-ameba/entry-12875614541.html
【ドキュメンタリー上映会＆トーク】国策をめぐる土地攻防――珠洲と砂川の「勝利」から学びなおす,2024-10-04T14:05:49+09:00,2024,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12869986041.html,https://ameblo.jp/2021fukuoka-ameba/entry-12869986041.html
今月のふらっと　2024年9月,2024-09-30T21:57:45+09:00,2024,ja,community,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12869534940.html,https://ameblo.jp/2021fukuoka-ameba/entry-12869534940.html
2024年秋の集会は10月19日(土）午後 たましんRISURUホールで,2024-09-21T12:46:09+09:00,2024,ja,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12868379559.html,https://ameblo.jp/2021fukuoka-ameba/entry-12868379559.html
リンク集 2024年９月（砂川事件国賠訴訟 控訴審）,2024-09-14T00:10:27+09:00,2024,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12867279876.html,https://ameblo.jp/2021fukuoka-ameba/entry-12867279876.html
